fold num,imgid,feature1,feature2,feature3
0,testimage/1.png,5307,166.5,590.5828220844269
1,testimage/healthy_tulsi.jpg,36.0,0,197.62236428260803
2,testimage/healthy_leaf.png,95.5,0,479.7127648591995
3,testimage/healthy_leaf.png,95.5,0,479.7127648591995
4,testimage/healthy_leaf.png,95.5,0,479.7127648591995
5,testimage/healthy_leaf.png,95.5,0,479.7127648591995
6,testimage/1.png,5307,166.5,590.5828220844269
7,testimage/1.png,5307,166.5,590.5828220844269
8,testimage/healthy_leaf.png,95.5,0,479.7127648591995
9,testimage/healthy_leaf.png,95.5,0,479.7127648591995
0,testimage/1.png,5307,166.5,590.5828220844269
1,testimage/1.png,5307,166.5,590.5828220844269
2,testimage/1.png,5307,166.5,590.5828220844269
3,testimage/1.png,5307,166.5,590.5828220844269
4,testimage/1.png,5307,166.5,590.5828220844269
5,testimage/healthy_leaf.png,95.5,0,479.7127648591995
6,testimage/healthy_leaf.png,95.5,0,479.7127648591995
7,testimage/healthy_leaf.png,95.5,0,479.7127648591995
8,testimage/healthy_leaf.png,95.5,0,479.7127648591995
9,testimage/healthy_leaf.png,95.5,0,479.7127648591995
0,testimage/healthy_leaf.png,95.5,0,479.7127648591995
1,testimage/healthy_leaf.png,95.5,0,479.7127648591995
2,testimage/healthy_leaf.png,95.5,0,479.7127648591995
3,testimage/1.png,5307,166.5,590.5828220844269
4,testimage/healthy_leaf.png,95.5,0,479.7127648591995
5,testimage/healthy_leaf.png,95.5,0,479.7127648591995
6,testimage/healthy_tulsi.jpg,36.0,0,197.62236428260803
7,testimage/1.png,5307,166.5,590.5828220844269
8,testimage/1.png,5307,166.5,590.5828220844269
9,testimage/Healthy_leaf.png,95.5,0,479.7127648591995
0,testimage/Infected_leaf.png,5307,166.5,590.5828220844269
1,testimage/Infected_leaf.png,5307,166.5,590.5828220844269
2,testimage/Infected_leaf.png,5307,166.5,590.5828220844269
3,testimage/Infected_leaf.png,5307,166.5,590.5828220844269
4,testimage/Infected_leaf.png,5307,166.5,590.5828220844269
5,testimage/Infected_leaf.png,5307,166.5,590.5828220844269
6,testimage/Infected_leaf.png,5307,166.5,590.5828220844269
7,testimage/Healthy_leaf.png,95.5,0,479.7127648591995
